id,raw_term,term,reading,definition,pitch_accent,affix_type,lesson_id
6f8eed7a-ca20-4da6-b3bc-396584901e0d,家族,家族,かぞく,家人；家庭,1,none,7
eb1b67ec-2b41-459c-8845-661265594194,父,父,ちち,我爸爸,2,none,7
c9450ad3-5f3b-4b0b-9141-90d36610e0d5,母,母,はは,我媽媽,1,none,7
6f00c56e-a6a9-4788-8b9e-dc93884c7163,兄,兄,あに,我哥哥,1,none,7
3e058668-cdcb-451e-a2d3-9e98a27534a2,姉,姉,あね,我姐姐,0,none,7
5ecb2300-3c6d-42bd-a00f-18f9c7900869,弟,弟,おとうと,我弟弟,4,none,7
9d32df0d-5231-448b-9667-96d0ddf32c53,妹,妹,いもうと,我妹妹,4,none,7
d258136b-f7df-4018-83d9-5b793d8bc76f,祖父,祖父,そふ,我祖父,1,none,7
3f4e8018-b795-404c-8f49-6cdf74cfeb80,祖母,祖母,そぼ,我祖母,1,none,7
7e999375-e51c-45d9-a2ec-ed12cb6a1e6c,夫,夫,おっと,我丈夫,0,none,7
f63678ae-2ebd-41c1-9d47-04b2d11d53b2,妻,妻,つま,我妻子,1,none,7
ae6234de-914a-4275-944f-c7539e038927,息子,息子,むすこ,我兒子,0,none,7
1f9dec40-ff19-4393-945c-fe1052887200,娘,娘,むすめ,我女兒,3,none,7
7c1bc461-2dac-46f9-88b3-a07e88b50b37,おじ,おじ,おじ,我舅舅；我叔叔,0,none,7
909ea076-c39d-4082-a983-3b51176dafbe,おば,おば,おば,我阿姨；我姑姑,0,none,7
0c57047a-cdfa-46ef-acb3-627fd2445e58,お父さん,お父さん,おとうさん,爸爸(敬稱),2,none,7
f0d30b73-d6de-454c-bad9-cfdd89cf3355,お母さん,お母さん,おかあさん,媽媽(敬稱),2,none,7
85e8c8c8-2b82-4ca5-a4f2-bf60af63a72e,お兄さん,お兄さん,おにいさん,哥哥(敬稱),2,none,7
bea66d52-f991-48c8-8570-6cdf0c076e0f,お姉さん,お姉さん,おねえさん,姐姐(敬稱),2,none,7
19400602-a3e5-4047-bc56-140e3c831e25,弟さん,弟さん,おとうとさん,弟弟(敬稱),0,none,7
17903676-baa9-4895-8f9a-63f95bc647cc,妹さん,妹さん,いもうとさん,妹妹(敬稱),0,none,7
4f0c9fcb-39b1-4843-a13d-ba160c697cdb,おじいさん,おじいさん,おじいさん,祖父(敬稱),2,none,7
46fd40f5-506b-4d0d-bb26-1064089187b5,おばあさん,おばあさん,おばあさん,祖母(敬稱),2,none,7
2fb2d8a1-7832-4cae-b33c-fc143af3226f,ご主人,ご主人,ごしゅじん,先生；丈夫(敬稱),2,none,7
8602549a-3fc8-45a9-9414-07819c58ab01,ご～,ご,ご,(美化語，表客氣、尊敬),-1,prefix,7
9900eb69-3461-430e-90dc-2174cce85bba,奥さん,奥さん,おくさん,太太(敬稱),1,none,7
6755e905-1ec1-4116-be63-3a727fa15cdf,お子さん,お子さん,おこさん,小孩(敬稱),0,none,7
601b32aa-3a3d-4ff7-9da8-60dd808f5bde,息子さん,息子さん,むすこさん,兒子(敬稱),0,none,7
158ee56d-20c5-49fc-9058-560255a19fb0,娘さん,娘さん,むすめさん,女兒(敬稱),0,none,7
ae63f509-f7f6-4eb4-bbbe-762f4bd49c75,おじさん,おじさん,おじさん,舅舅(敬稱)；叔叔(敬稱),0,none,7
c8881444-0240-4236-bc61-c64dd0617221,おばさん,おばさん,おばさん,阿姨(敬稱)；姑姑(敬稱),0,none,7
0fe36820-ab6a-45cd-bbbb-eddb9d78d078,あげます,あげます,あげます,給；送,3,none,7
edf706cc-e4a6-4b92-9980-8983641306cf,もらいます,もらいます,もらいます,收,4,none,7
a32290b3-bb01-4048-be26-53d8a95ff42d,人形,人形,にんぎょう,娃娃；人偶,0,none,7
6bf5da9a-2cd9-45cb-8344-c4f3909a8bc0,帽子,帽子,ぼうし,帽子,0,none,7
268cc501-806e-4281-bf71-ee0db0f92282,絵葉書,絵葉書,えはがき,風景明信片；繪畫明信片,2,none,7
8bbb67a8-19ab-4054-a394-23cb33b31c0b,教えます,教えます,おしえます,教；告訴,4,none,7
7c53e020-de19-4b3f-b633-81837761ed2f,習います,習います,ならいます,學習(技藝),4,none,7
99c4d154-f430-4876-a866-8472af988a49,電話をかけます,電話をかけます,でんわをかけます,打電話,-1,none,7
5104f893-c6d9-456c-9360-b8a6bd0e8cab,出します,出します,だします,提交；送出；拿出；取出,3,none,7
78ca5398-eb2a-4eb7-9402-0eaf2f1a7bb0,荷物,荷物,にもつ,行李；包裹,1,none,7
02a13247-8f6e-4766-9711-21d830b6aa6a,プレゼント,プレゼント,プレゼント,禮物,2,none,7
b5822e9b-bf42-4da3-8d1f-a02d5d79f5c7,送ります,送ります,おくります,寄送；送行,4,none,7
aa94898d-9819-4464-97a0-1b2483e52885,パスポート,パスポート,パスポート,護照,3,none,7
6d0c4560-124b-4396-8d9f-323c6c8fe936,学生証,学生証,がくせいしょう,學生證,0,none,7
31716b5f-877b-4593-8a55-02fafe0a2291,見せます,見せます,みせます,出示；給看,3,none,7
77c64c59-2118-4451-bf09-de59590d9c48,申込書,申込書,もうしこみしょ,申請書,6,none,7
136f6394-d3f8-48a2-bf7a-e5babc18dc6b,貸します,貸します,かします,借出,3,none,7
cb39abd8-565c-4aae-83e7-8607d76ce799,借ります,借ります,かります,借入,3,none,7
d0e7c006-9632-4e1f-bdae-957f8732cb5f,くれます,くれます,くれます,給(我),3,none,7
4354c80c-d953-4a1d-9f6e-7c14290d4e76,ありがとう,ありがとう,ありがとう,謝謝,2,none,7
b26b5fec-2cc9-4059-915b-c1f841821ecb,素敵,素敵,すてき,很好的,0,none,7
41e9a5f8-7019-44ff-be90-17bd5bc40798,嬉しい,嬉しい,うれしい,高興的；開心的,3,none,7
963ec0da-b3dc-4d11-86f9-5478f95ed978,かわいい,かわいい,かわいい,可愛的,3,none,7
de866e77-fe70-4c0e-85d2-2de903114be8,また,また,また,又；再,0,none,7
ba9e997f-bd9d-49fa-9c09-4c368ab7983b,みんなによろしく,みんなによろしく,みんなによろしく,代我向大家問好,-1,none,7
acd06981-39f8-4635-b194-6be4b54b086a,おめでとう,おめでとう,おめでとう,恭喜；快樂,0,none,7
f3a82ccf-e9f2-4add-832c-b7da1e9351fe,電話をします,電話をします,でんわをします,打電話,-1,none,7
deaffe30-55d4-45c0-a09a-e2b552e1361f,スカイプ,スカイプ,スカイプ,Skype,2,none,7
774f2354-f2ee-4f24-ab0c-f102206674a5,同じ,同じ,おなじ,一樣的；相同的,0,none,7
7d5aef64-fb20-4310-aa84-382156c3ee70,結婚します,結婚します,けっこんします,結婚,6,none,7
2f707862-45db-4581-97ea-71ee9de74b42,喧嘩します,喧嘩します,けんかします,吵架；打架,5,none,7
f1d22627-e77e-4944-b42a-5bd0abfe183a,強い,強い,つよい,強的,2,none,7
2d7676e4-6805-4aa0-b742-be833b49da8b,チーム,チーム,チーム,隊伍；團體,1,none,7
e42ffded-959e-40e6-8f63-2dae7ca61b15,試合,試合,しあい,比賽,0,none,7
1d342e66-b3f6-4bf3-9488-f021756a0352,恋人,恋人,こいびと,另一半；情侶,0,none,7
c2ae23a5-2784-452d-b1db-c3fefd817888,デートします,デートします,デートします,約會,5,none,7
9d4026b5-3fdd-4df3-93c1-7c672466344a,別れます,別れます,わかれます,分開；離別；分手,4,none,7
3e1bca41-ab2e-459f-8604-87221aa6bd27,相談します,相談します,そうだんします,諮詢；商量,6,none,7
7f431dcd-a311-41db-86f1-442dab4eec47,会います,会います,あいます,見面,3,none,7
f223493f-269b-403a-b4f9-ff6c0fef8c40,似ています,似ています,にています,相似；像,4,none,7
e60d1d41-f350-4c46-8072-2b9df12f01fb,違います,違います,ちがいます,不一樣；不同,4,none,7
eca79f11-8cef-4b1a-b860-ee53e924dcbe,年,年,とし,年齡,2,none,7
f83d7cf7-24b7-4b2a-b09f-5fd4d1215824,うちわ,うちわ,うちわ,團扇,2,none,7
85f37894-8384-4830-8f20-aa807752df22,扇子,扇子,せんす,摺扇,0,none,7
c8c6e688-525c-470d-80d0-b9f67b4da470,草履,草履,ぞうり,草鞋,0,none,7
c8355088-7845-493a-aebb-b441887b9cfc,下駄,下駄,げた,木屐,0,none,7
