"單　　字","讀　　音","重音","中　文　翻　譯","課","句型","詞性","動詞
分類","動詞
辭書形","辭書形
重音","","","","","","","","",""
"家族","かぞく","1","家人；家庭","7","07-0","名詞","-","-","-","","","","","","","","",""
"父","ちち","2","我爸爸","7","07-0","名詞","-","-","-","","","","","","","","",""
"母","はは","1","我媽媽","7","07-0","名詞","-","-","-","","","","","","","","",""
"兄","あに","1","我哥哥","7","07-0","名詞","-","-","-","","","","","","","","",""
"姉","あね","0","我姐姐","7","07-0","名詞","-","-","-","","","","","","","","",""
"弟","おとうと","4","我弟弟","7","07-0","名詞","-","-","-","","","","","","","","",""
"妹","いもうと","4","我妹妹","7","07-0","名詞","-","-","-","","","","","","","","",""
"祖父","そふ","1","我祖父","7","07-0","名詞","-","-","-","","","","","","","","",""
"祖母","そぼ","1","我祖母","7","07-0","名詞","-","-","-","","","","","","","","",""
"夫","おっと","0","我丈夫","7","07-0","名詞","-","-","-","","","","","","","","",""
"妻","つま","1","我妻子","7","07-0","名詞","-","-","-","","","","","","","","",""
"息子","むすこ","0","我兒子","7","07-0","名詞","-","-","-","","","","","","","","",""
"娘","むすめ","3","我女兒","7","07-0","名詞","-","-","-","","","","","","","","",""
"おじ","-","0","我舅舅；我叔叔","7","07-0","名詞","-","-","-","","","","","","","","",""
"おば","-","0","我阿姨；我姑姑","7","07-0","名詞","-","-","-","","","","","","","","",""
"お父さん","おとうさん","2","爸爸(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"お母さん","おかあさん","2","媽媽(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"お兄さん","おにいさん","2","哥哥(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"お姉さん","おねえさん","2","姐姐(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"弟さん","おとうとさん","0","弟弟(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"妹さん","いもうとさん","0","妹妹(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"おじいさん","-","2","祖父(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"おばあさん","-","2","祖母(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"ご主人","ごしゅじん","2","先生；丈夫(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"ご～","-","-","(美化語，表客氣、尊敬)","7","07-0","前綴","-","-","-","","","","","","","","",""
"奥さん","おくさん","1","太太(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"お子さん","おこさん","0","小孩(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"息子さん","むすこさん","0","兒子(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"娘さん","むすめさん","0","女兒(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"おじさん","-","0","舅舅(敬稱)；叔叔(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"おばさん","-","0","阿姨(敬稱)；姑姑(敬稱)","7","07-0","名詞","-","-","-","","","","","","","","",""
"あげます","-","3","給；送","7","07-1","動詞","2","あげる","0","","","","","","","","",""
"もらいます","-","4","收","7","07-1","動詞","1","もらう","0","","","","","","","","",""
"人形","にんぎょう","0","娃娃；人偶","7","07-1","名詞","-","-","-","","","","","","","","",""
"帽子","ぼうし","0","帽子","7","07-1","名詞","-","-","-","","","","","","","","",""
"絵葉書","えはがき","2","風景明信片；繪畫明信片","7","07-1","名詞","-","-","-","","","","","","","","",""
