term,reading,pitch_accent,definition,lesson_id,句型,詞性,"動詞
分類","動詞
辭書形","辭書形
重音",,,,,,,,,
例,れい,1,例子,1,01-1,名詞,-,-,-,,,,,,,,,
～さん,-,-,～先生；小姐(敬稱),1,01-1,後綴,-,-,-,,,,,,,,,
ベトナム,-,0,越南,1,01-1,名詞,-,-,-,,,,,,,,,
学生,がくせい,0,學生,1,01-1,名詞,-,-,-,,,,,,,,,
インドネシア,-,4,印尼,1,01-1,名詞,-,-,-,,,,,,,,,
中国,ちゅうごく,1,中國,1,01-1,名詞,-,-,-,,,,,,,,,
アメリカ,-,0,美國,1,01-1,名詞,-,-,-,,,,,,,,,
韓国,かんこく,1,韓國,1,01-1,名詞,-,-,-,,,,,,,,,
オーストラリア,-,5,澳洲,1,01-1,名詞,-,-,-,,,,,,,,,
ブラジル,-,0,巴西,1,01-1,名詞,-,-,-,,,,,,,,,
タンザニア,-,0,坦尚尼亞,1,01-1,名詞,-,-,-,,,,,,,,,
はい,-,1,對；好；是,1,01-1,感嘆詞,-,-,-,,,,,,,,,
そうです,-,1,就是那樣,1,01-1,句子,-,-,-,,,,,,,,,
いいえ,-,0,不對；不是,1,01-1,感嘆詞,-,-,-,,,,,,,,,
タイ,-,1,泰國,1,01-1,名詞,-,-,-,,,,,,,,,
クラス,-,1,班級,1,01-2,名詞,-,-,-,,,,,,,,,
はじめまして,-,4,初次見面,1,01-2,句子,-,-,-,,,,,,,,,
どうぞよろしく,-,-,請多指教,1,01-2,句子,-,-,-,,,,,,,,,
これ,-,0,這個,1,01-3,代名詞,-,-,-,,,,,,,,,
それ,-,0,(你)那個,1,01-3,代名詞,-,-,-,,,,,,,,,
あれ,-,0,那個,1,01-3,代名詞,-,-,-,,,,,,,,,
本,ほん,1,書,1,01-3,名詞,-,-,-,,,,,,,,,
ノート,-,1,筆記本,1,01-3,名詞,-,-,-,,,,,,,,,
辞書,じしょ,1,字典,1,01-3,名詞,-,-,-,,,,,,,,,
新聞,しんぶん,0,報紙,1,01-3,名詞,-,-,-,,,,,,,,,
雑誌,ざっし,0,雜誌,1,01-3,名詞,-,-,-,,,,,,,,,
鍵,かぎ,2,鑰匙,1,01-3,名詞,-,-,-,,,,,,,,,
傘,かさ,1,傘,1,01-3,名詞,-,-,-,,,,,,,,,
かばん,-,0,包包,1,01-3,名詞,-,-,-,,,,,,,,,
時計,とけい,0,時鐘；錶,1,01-3,名詞,-,-,-,,,,,,,,,
消しゴム,けしごむ,0,橡皮擦,1,01-3,名詞,-,-,-,,,,,,,,,
ボールペン,-,0,原子筆,1,01-3,名詞,-,-,-,,,,,,,,,
テレビ,-,1,電視,1,01-3,名詞,-,-,-,,,,,,,,,
コンピュータ,-,3,電腦,1,01-3,名詞,-,-,-,,,,,,,,,
車,くるま,0,汽車,1,01-3,名詞,-,-,-,,,,,,,,,
カメラ,-,1,相機,1,01-3,名詞,-,-,-,,,,,,,,,
英語,えいご,0,英文,1,01-3,名詞,-,-,-,,,,,,,,,
日本語,にほんご,0,日文,1,01-3,名詞,-,-,-,,,,,,,,,
～語,～ご,-,～文,1,01-3,後綴,-,-,-,,,,,,,,,
宿題,しゅくだい,0,作業,1,01-3,名詞,-,-,-,,,,,,,,,
ペン,-,1,筆,1,01-3,名詞,-,-,-,,,,,,,,,
